DATA;LOTE/SUB/DOC/LINHA;HISTORICO;C/PARTIDA;FILIAL DE ORIGEM;C CUSTO;ITEM CONTA;DIVISAO;DEBITO;CREDITO
CONTA;DESCRICAO;;;;;;;;
11112; - BANCOS CONTA MOVIMENTO;;;;;;;;
CONTA - 11112010                       - BANCO BRADESCO;SALDO ANTERIOR:            3.426,73 D;;;;;;;;
;;;;;;;;;
10/02/21;1,1E+15;TAR PACOTE MENSAL BASICO II;52111003;1;;;;0;20,06586826
CONTA;DESCRICAO;;;;;;;;
11112; - BANCOS CONTA MOVIMENTO;;;;;;;;
CONTA - 11112011                       - BANCO ITAU  AG. 8499 CC. 247909;SALDO ANTERIOR:           50.319,26 D;;;;;;;;
;;;;;;;;;
05/02/21;1,1E+15;PGTO. NF  000006631 - ENGINE SOLUCOES DI;;1;;;;0;1609,580838
05/02/21;;GITAIS EIRELI;;;;;;;
05/02/21;1,1E+15;PGTO. NF  000001429 - CARPE DIEM  EMPREE;;1;;;;0;413,1736527
05/02/21;;NDIMENTOS LTDA;;;;;;;
05/02/21;1,1E+15;PGTO. NF  000000305 - E H S VIAGENS E TU;;1;;;;0;1540,11976
05/02/21;;RISMO EIRELI  ME;;;;;;;
05/02/21;1,1E+15;PGTO. NF  000020211 - AGENCIA MAKE DE PU;;1;;;;0;1173,652695
05/02/21;;BLICIDADE E MARKETING;;;;;;;
05/02/21;1,1E+15;PGTO. BOL 000285651 - URRE ADMINISTRADOR;;1;;;;0;28094,0024
05/02/21;;A DE BENS LTDA.;;;;;;;
05/02/21;1,1E+15;PGTO. RED 44D889087 - HANNA ALVAREZ GARC;;1;;;;0;49,76766467
05/02/21;;IA;;;;;;;
05/02/21;1,1E+15;PGTO. RED 543A3967F - HANNA ALVAREZ GARC;;1;;;;0;83,60598802
05/02/21;;IA;;;;;;;
05/02/21;1,1E+15;PGTO. RED 647349F93 - WALTER PEREZ URCIA;;1;;;;0;167,6646707
05/02/21;1,1E+15;PGTO. RED 849FE9105 - GABRIELA SOLERA MO;;1;;;;0;1228,023952
05/02/21;;LLO;;;;;;;
05/02/21;1,1E+15;PGTO. RED F4E819792 - CAMILA REIMI TAMAS;;1;;;;0;115,8538922
05/02/21;;HIRO;;;;;;;
05/02/21;1,1E+15;PGTO. RED 1546E99A5 - FILIPE NUNES;;1;;;;0;5,045508982
05/02/21;1,1E+15;PGTO. BOL 000285509 - UBER DO BRASIL TEC;;1;;;;0;399,5712575
05/02/21;;NOLOGIA LTDA.;;;;;;;
05/02/21;1,1E+15;PGTO. NF  00415865  - BRASOFTWARE INFORM;;1;;;;0;170,548503
05/02/21;;ATICA LTDA;;;;;;;
05/02/21;1,1E+15;PGTO. FT  000270178 - COOPERALAR UTILIDA;;1;;;;0;4790,419162
05/02/21;;DES DOMESTICAS LTDA;;;;;;;
05/02/21;1,1E+15;PGTO. RED 94971B461 - RAJAN TUPINAMBA;;1;;;;0;3,471856287
05/02/21;1,1E+15;PGTO. RED B46DDB9F3 - JULIO MASSI BULCAO;;1;;;;0;2,177245509
05/02/21;1,1E+15;PGTO NF 248D391D4 FERNANDO SETTE;;1;;;;0;305,0922156
05/02/21;1,1E+15;PGTO NF 647349F93 CYBELLE FERNANDES;;1;;;;0;115,8538922
05/02/21;1,1E+15;PGTO NF C46F496C5 TIAGO FERNANDES;;1;;;;0;27,16407186
05/02/21;1,1E+15;PGTO NF F4069A998 CYBELLE FERNANDES;;1;;;;0;17,95209581
05/02/21;1,1E+15;PGTO NF F44E88F25 BERNARDO CARVALHO;;1;;;;0;11,01796407
05/02/21;1,1E+15;PGTO NF 000000011 V A F C DESIGN DIGIT;;1;;;;0;1305,02994
05/02/21;1,1E+15;PGTO NF 000021375 JLL SERVICOS DE MANU;;1;;;;0;2652,009581
05/02/21;1,1E+15;PGTO NF 000021376 JLL SERVICOS DE MANU;;1;;;;0;65,28742515
05/02/21;1,1E+15;PGTO NF E4C9DAAA1 DIEGO DE OLIVEIRA;;1;;;;0;697,160479
05/02/21;1,1E+15;PGTO NF 000285918 DANIEL DIAS;;1;;;;0;3,891017964
05/02/21;1,1E+15;PGTO NF 000285689 PREFEITURA DO ESTADO;;1;;;;0;1645,65509
05/02/21;1,1E+15;PGTO NF 000285667 PREFEITURA DO ESTADO;;1;;;;0;1371,746108
05/02/21;1,1E+15;PGTO. CSLL COMPLEMENTAR REF. 12/2020;;1;;;;0;980,4323353
05/02/21;1,1E+15;PGTO. IRPJ COMPLEMENTAR REF. 12/2020;;1;;;;0;2658,062275
05/02/21;1,1E+15;PGTO NF 000022021 CREUZA REZENDE FABIA;;1;;;;0;13003,18443
05/02/21;1,1E+15;-TAR C/C SISPAG;52111003;1;;;;0;8,220359281
05/02/21;1,1E+15;-TAR C/C SISPAG;52111003;1;;;;0;2,00239521
05/02/21;1,1E+15;#NAME?;52111003;1;;;;0;86,31257485
05/02/21;1,1E+15;007 RESGATE CDB;;1;;;;129285,594;0
05/02/21;1,1E+15;007 RESGATE CDB;;1;;;;37246,36287;0
05/02/21;1,1E+15;#NAME?;21115004;1;;;;0;96294,41677
