DATA;LOTE/SUB/DOC/LINHA;HISTORICO;C/PARTIDA;FILIAL DE ORIGEM;C CUSTO;ITEM CONTA;DIVISAO;DEBITO;CREDITO
CONTA;DESCRICAO;;;;;;;;
11112; - BANCOS CONTA MOVIMENTO;;;;;;;;
CONTA - 11112010                       - BANCO BRADESCO;SALDO ANTERIOR:            3.259,18 D;;;;;;;;
;;;;;;;;;
10/03/21;1,1E+15;#NAME?;52111003;1;;;;0;20,06586826
;;;;;;;;;
31/03/21;1,1E+15;TARIFA DOC/TED;52111003;1;;;;0;2,628742515
31/03/21;1,1E+15;TRANSF. ENTRE CONTAS;;1;;;;0;367,6263473
CONTA;DESCRICAO;;;;;;;;
11112; - BANCOS CONTA MOVIMENTO;;;;;;;;
CONTA - 11112011                       - BANCO ITAU  AG. 8499 CC. 247909;SALDO ANTERIOR:           50.002,52 D;;;;;;;;
;;;;;;;;;
01/03/21;1,1E+15;PGTO. NF  000000211 - JNX DE BRITO LIMA;;1;;;;0;1347,305389
01/03/21;1,1E+15;PGTO. NF  000000356 - P7 ENGENHARIA LTDA;;1;;;;0;598,8023952
01/03/21;1,1E+15;PGTO. BOL 000157538 - CENTURYLINK COM DO;;1;;;;0;6,973652695
01/03/21;; BRASIL LTDA;;;;;;;
01/03/21;1,1E+15;PGTO. NF  000002904 - CADA PRESENTES MAR;;1;;;;0;777,9461078
01/03/21;;KETING PROMOCIONAL LTD;;;;;;;
01/03/21;1,1E+15;PGTO. NF  000001055 - KRYPTUS SEGURANCA;;1;;;;0;5567,001198
01/03/21;;DA INFORMACAO S A;;;;;;;
01/03/21;1,1E+15;PGTO. NF  000001238 - M HRUBY TRADUCOES;;1;;;;0;88,95688623
01/03/21;;DE TEXTO LTDA;;;;;;;
01/03/21;1,1E+15;PGTO. NF  000016533 - LEFOSSE ADVOGADOS;;1;;;;0;1596,882635
01/03/21;1,1E+15;PGTO. NF  000016534 - LEFOSSE ADVOGADOS;;1;;;;0;332,4646707
01/03/21;1,1E+15;PGTO. NF  000016535 - LEFOSSE ADVOGADOS;;1;;;;0;45,85748503
01/03/21;1,1E+15;PGTO. NF  000016536 - LEFOSSE ADVOGADOS;;1;;;;0;1497,525749
01/03/21;1,1E+15;PGTO. NF  000016537 - LEFOSSE ADVOGADOS;;1;;;;0;88,84670659
01/03/21;1,1E+15;PGTO NF 000080088 CENTURYLINK COMUNICA;;1;;;;0;4725,493413
01/03/21;1,1E+15;PGTO NF 000129780 CENTURYLINK COMUNICA;;1;;;;0;359,2814371
01/03/21;1,1E+15;PGTO NF 000002035 ARQUIVO LOGISTICA DE;;1;;;;0;182,6287425
01/03/21;1,1E+15;PGTO NF 000002036 ARQUIVO LOGISTICA DE;;1;;;;0;45,70658683
01/03/21;1,1E+15;PGTO NF 000175590 CONDOMINIO CORPORATE;;1;;;;0;4145,911377
01/03/21;1,1E+15;PGTO NF 000175591 CONDOMINIO CORPORATE;;1;;;;0;4036,637126
01/03/21;1,1E+15;PGTO NF 002022021 CLARO S.A.;;1;;;;0;174,5017964
01/03/21;1,1E+15;#NAME?;21115001;1;;;;0;11769,07665
01/03/21;1,1E+15;FT OP-TES;;1;;;;0;332574,8503
01/03/21;1,1E+15;-ITAUCARD MC 1502-5403;21111003;1;;;;0;75178,28862
01/03/21;1,1E+15;005 RESGATE CDB;;1;;;;113593,4503;0
01/03/21;1,1E+15;TED 033.2271AVL APLICATI;;1;;;;332574,8503;0
;;;;;;;;;
02/03/21;1,1E+15;-TAR CTA EMP MENSAL 02/21;52111003;1;;;;0;21,43712575
;;;;;;;;;
03/03/21;1,1E+15;PGTO. NF  000000003 - ZAZ ESTUDIO DE ILU;;1;;;;0;2728,742515
